"","date","observer","cloud_cover","wind","vista","survey_start","int_seal_adult","int_seal_pup","int_lion_adult","int_lion_pup","swim_seal","swim_lion","humans","dtime","sio_sst","sio_air_temp","predicted_ft"
"1",2021-06-26,"KatGer",10,2,"zone1",0.418055555555556,0,0,0,0,0,0,1,2021-06-26 10:00:00,19.2999992370605,17.7999992370605,0.767
"2",2021-06-26,"KatGer",10,2,"spur",0.449305555555556,0,0,0,0,0,0,16,2021-06-26 11:00:00,17.6000003814697,17.6000003814697,-0.717
"3",2021-06-26,"KatGer",10,2,"lot3",0.468055555555556,0,0,0,0,0,0,4,2021-06-26 11:00:00,17.6000003814697,17.6000003814697,-0.717
"4",2021-07-03,"KatGer",100,2,"zone1",0.513194444444444,0,0,0,0,0,0,13,2021-07-03 12:00:00,20.3999996185303,18.2000007629395,3.307
"5",2021-07-03,"KatGer",100,2,"spur",0.531944444444444,0,0,0,0,0,0,12,2021-07-03 13:00:00,20.5,18.2999992370605,3.376
"6",2021-07-03,"KatGer",100,2,"lot3",0.547916666666667,0,0,0,0,0,0,13,2021-07-03 13:00:00,20.5,18.2999992370605,3.376
"7",2021-07-17,"KatGer",10,1,"zone1",0.498611111111111,0,0,0,0,1,0,3,2021-07-17 12:00:00,17.8999996185303,20.1000003814697,3.31
"8",2021-07-17,"KatGer",10,1,"spur",0.518055555555556,0,0,0,0,0,0,9,2021-07-17 12:00:00,17.8999996185303,20.1000003814697,3.31
"9",2021-07-17,"KatGer",10,1,"lot3",0.535416666666667,0,0,0,0,1,0,6,2021-07-17 13:00:00,19.8999996185303,20,2.686
"10",2021-07-18,"BriMac",2,1,"zone1",0.552083333333333,0,0,0,0,1,0,1,2021-07-18 13:00:00,21.8999996185303,20.8999996185303,3.271
"11",2021-07-18,"BriMac",2,1,"spur",0.618055555555556,0,0,0,0,1,0,6,2021-07-18 15:00:00,22.7000007629395,21.3999996185303,2.368
"12",2021-07-18,"BriMac",2,1,"lot3",0.65625,0,0,0,0,0,0,0,2021-07-18 16:00:00,23.5,21.8999996185303,1.949
"13",2021-07-24,"KatGer",90,1,"zone1",0.559722222222222,0,0,0,0,0,0,18,2021-07-24 13:00:00,17.5,19.7999992370605,-0.689
"14",2021-07-24,"KatGer",90,1,"spur",0.596527777777778,2,0,0,0,0,0,0,2021-07-24 14:00:00,16.7000007629395,19.8999996185303,0.567
"15",2021-07-24,"KatGer",90,1,"lot3",0.651388888888889,3,0,0,0,0,0,6,2021-07-24 16:00:00,15.1999998092651,20.7000007629395,3.378
"16",2021-08-01,"BriMac",0,2,"zone1",0.604166666666667,0,0,0,0,0,0,12,2021-08-01 15:00:00,12.5,16.1000003814697,2.802
"17",2021-08-01,"BriMac",0,2,"spur",0.5,2,0,0,0,2,0,0,2021-08-01 12:00:00,12.3999996185303,16.2999992370605,3.086
"18",2021-08-01,"BriMac",0,2,"lot3",0.520833333333333,0,0,0,0,0,0,0,2021-08-01 13:00:00,12.6999998092651,16.2000007629395,3.089
"19",2021-08-08,"BriMac",0,0.5,"zone1",0.708333333333333,0,0,0,0,2,0,18,2021-08-08 17:00:00,19.6000003814697,18.7999992370605,4.359
"20",2021-08-08,"BriMac",0,0.5,"spur",0.635416666666667,7,0,0,0,0,0,0,2021-08-08 15:00:00,18,18.2000007629395,2.669
"21",2021-08-08,"BriMac",0,0.5,"lot3",0.652777777777778,6,0,0,0,0,0,0,2001-08-08 16:00:00,NA,NA,NA
"22",2021-08-21,"KatGer",80,1,"zone1",0.497222222222222,0,0,0,0,0,0,8,2021-08-21 12:00:00,21.8999996185303,19.6000003814697,-0.311
"23",2021-08-21,"KatGer",80,1,"spur",0.543055555555556,0,0,0,0,0,0,5,2021-08-21 13:00:00,21.8999996185303,19.3999996185303,0.928
"24",2021-08-21,"KatGer",80,1,"lot3",0.563888888888889,0,0,0,0,1,0,1,2021-08-21 14:00:00,19.8999996185303,18.7000007629395,2.395
"25",2021-08-22,"BriMac",31,3,"zone1",0.708333333333333,0,0,0,0,0,0,22,2021-08-22 17:00:00,17.8999996185303,19.2999992370605,4.981
"26",2021-08-22,"BriMac",31,3,"spur",0.65625,3,0,0,0,0,0,11,2021-08-22 16:00:00,18.3999996185303,19,4.36
"27",2021-08-22,"BriMac",31,3,"lot3",0.680555555555555,0,0,0,0,0,0,0,2021-08-22 16:00:00,18.3999996185303,19,4.36
